os,version,algorithm,16b,64b,256b,1024b,8192b,16384b
alpine,3.5.5,AES-256-GCM,126298.67,456512.64,1564254.98,3804279.81,6994903.04,7433027.58
alpine,3.5.5,sha256,118858.88,441117.25,1475287.3,3406265.34,5535563.78,5820203.01
alpine,3.5.5,sha512,72250.85,298918.91,677082.62,1239354.37,1622335.49,1658322.94
alpine,3.5.5,sha3-256,52806.11,216597.57,581653.25,753760.26,869773.68,886226.94
ubuntu,3.0.13,AES-256-GCM,1112853.09,2646637.95,5267617.54,6876262.4,7708991.73,7609466.88
ubuntu,3.0.13,sha256,225123.79,798236.99,2322882.82,4350647.3,5777317.89,5968003.07
ubuntu,3.0.13,sha512,97163.98,388717.06,817361.41,1330727.94,1640169.47,1665351.68
ubuntu,3.0.13,sha3-256,65475.34,260906.37,647051.26,783410.18,877101.06,888979.46
debian,3.0.18,AES-256-GCM,88894.94,334786.18,1172565.25,3164818.43,6673186.82,7248609.28
debian,3.0.18,sha256,238957.44,843341.89,2396110.34,4334742.53,5744115.71,5911379.97
debian,3.0.18,sha512,99518.82,397797.63,827610.11,1330418.69,1640669.18,1668513.79
debian,3.0.18,sha3-256,69077.66,276659.39,667498.24,768647.17,877871.1,887570.43
fips,3.5.5,AES-256-GCM,179818.8,636668.61,2001956.86,4379511.87,7090593.79,7377436.67
fips,3.5.5,sha256,278316.98,959960.9,2603152.64,4510186.5,5755920.38,5829689.34
fips,3.5.5,sha512,109057.5,436976.45,849766.66,1362342.91,1635852.29,1644216.32
fips,3.5.5,sha3-256,75931.65,304354.75,705745.41,803074.05,876167.17,876871.68
