os,version,algorithm,16b,64b,256b,1024b,8192b,16384b
fips,3.5.5,AES-256-GCM,41585.44,131677.53,340748.78,1545311.75,2748425.11,3353982.99
fips,3.5.5,sha256,50502.26,160740.76,320641.28,516653.55,584595.93,632995.84
fips,3.5.5,sha512,42784.36,204259.33,359812.16,701087.23,779849.46,940728.32
fips,3.5.5,sha3-256,30909.48,127059.58,349732.51,437629.83,509345.38,428939.03
debian,3.0.18,AES-256-GCM,23270.36,110070.24,456237.13,1248325.57,3092827.43,4200486.72
debian,3.0.18,sha256,54451.26,167166.48,360073.9,477603.33,609316.8,583954.98
debian,3.0.18,sha512,40332.51,172959.36,356883.74,728897.02,853787.93,788824.06
debian,3.0.18,sha3-256,32618.44,132883.31,324826.68,299117.61,409627.39,466001.92
alpine,3.5.5,AES-256-GCM,58874.39,221203.49,475978.44,1421252.51,1950995.67,1602803.44
alpine,3.5.5,sha256,40137.24,139482.91,333978.09,487963.21,560878.83,622982.61
alpine,3.5.5,sha512,36531.25,166352.61,345982.59,645293.51,805260.88,812852.06
alpine,3.5.5,sha3-256,31053.49,123447.32,317113.14,419202.64,461148.16,501744.8
ubuntu,3.0.13,AES-256-GCM,358104.22,896810.55,1914194.82,1747177.86,3855506.23,3491651.91
ubuntu,3.0.13,sha256,57685.21,160375.76,381960.26,537167.86,607186.72,621066.13
ubuntu,3.0.13,sha512,46043.96,167306.22,376816.19,696746.87,938115.07,923534.53
ubuntu,3.0.13,sha3-256,32884.43,143970.75,336799.64,419377.06,496368.79,511123.46
